term,gloss,forms,occurrences
"wanton","licentious, wanton, brutal, outrageous",4,14
"balsamiferous","balsamiferous",4,14
"dissected","cut up, having been cut up",2,14
"doomed","condemned, convicted, doomed",3,14
"druids","the Druids",5,14
"defective","defective",4,14
"oneiric","appearing in dreams or sleep, seen in dreams, during one's sleep or dreams, seen in a vision during a dream",4,14
"gigonus","Gigonus, Crossaea, Greece",3,14
"profitable","lucrative, advantageous",3,14
"manduria","Mandonion; Manduria, Italy",5,14
"philosophical","philosophical",4,14
"interpose","to throw before, interpose",5,14
"small morsel","small morsel",4,14
"forebald","bald in front; partially bald",3,14
"bestia","Bestia",4,14
"trachon","an ancient region and lava field in the region of Palestine, modern southwestern Syria",5,14
"vicentine","a Vicentine (an inhabitant of the modern Vicenza or the ancient Vicetia or Vicentia)",3,14
"having repeled","having repeled",4,14
"reeve","a bailiff (in its medieval senses)",3,14
"xenophon","A Greek mercenary of Athens",3,14
"woken","woken",4,14
"you change","contracted second-person singular present active indicative/subjunctive of μετᾰλλᾰ́ω (metăllắō)",7,14
"cyprine","of or pertaining to the cypress (tree); cyprine",7,14
"diocletian","Diocletian (Roman emperor)",3,14
"bewitching","bewitching (e.g. by evil eye), fascination",6,14
"unfold","to make single, unfold, spread out",7,14
"metrical","metrical (of or pertaining to measurement)",4,14
"ialysos","Ialysos (a town in Rhodes, Dodecanese, Greece)",6,14
"contemptuous","dismissive, contemptuous",3,14
"orestes","Orestes",5,14
"parricide","parricide (person)",4,14
"very pleasant","very pleasant",2,14
"plumier","Plumier (attributive); used in taxonomic names for organisms that often have English names of the form ""Plumier's ...""",4,14
"ferocious","ferocious",7,14
"areopagus","a precinct used as a court at Athens",4,14
"sipontum","a city in Apulia, situated in the bight of a deep bay formed by the promontory of Garganus",6,14
"drowsy","sleepy, drowsy",3,14
"spicate","consisting of ears of corn",5,14
"palisade","palisade",5,14
"abraham","Abraham",6,14
"mycenae","A city of Argolis and dwelling of the mythical king Agamemnon",6,14
"gone","withdrawn, retired, departed, left",4,14
"expelled","removed, expelled, repelled",5,14
"waterbody","A lake or river of Margiana, Central Asia, mentioned by Pliny",6,14
"ashcake","loaf baked in the ashes",3,14
"rivulet","rivulet, little water, runnel",5,14
"ensnare","to noose, entangle, ensnare",7,14
"mantua","Mantua (city)",3,14
"in vain","in vain",5,14
"nun","nun",3,14
"troy","Troy",5,14
"pullary","of or pertaining to young chicks, esp. as used in divination",4,14
"fifth time","for the fifth time",9,14
"poured back","poured back",5,14
"girdler","a girdle-wearer; one who girds",7,14
"dendera","a city of Upper Egypt, now Dendera",6,14
"lifetime","lifetime; life",7,14
"aetna","Aetna (Sicilian nymph), related to the homonymous place.",5,14
"sefīd-rūd","A river of Media, now the Sefīd-Rūd",6,14
"artab","an artab (an Egyptian/Persian dry measure)",4,14
"prostrate","prostrated, prostrate",5,14
"glorify","to make venerable, glorify",6,14
"voracious","inclined to eat, voracious",6,14
"songstress","songstress, singer (female)",4,14
"tighten","to stretch or strain tight",5,14
"malt","flour, meal, used as seasoning for ale",6,14
"collar harness","collar harness",6,14
"nourishment","food, nourishment, sustenance",5,14
"pangaion hills","Pangaion hills",5,14
"anchialus","Anchialus; Pomorie, Bulgaria",8,14
"somnial","of or belonging to sleep",7,14
"ileus","partial intestinal obstruction",5,14
"thulium","thulium",5,14
"varda","A distant trans-Neptunian object and planetoid, and a possible dwarf planet. Its moon is Ilmarë.",6,14
"roman play","a play involving Roman characters, in Roman dress and Roman settings, especially a comedy",8,14
"astrologer","astrologer",5,14
"algeria","Algeria (a country in North Africa)",8,14
"faun","Faunus (horned god of the forest, plains and fields)",6,14
"genoa","Genoa (the capital city of the modern Metropolitan City of Genoa and the region of Liguria, in modern Italy)",9,14
"tubercles","medullary tubercles near the pineal gland of the brain",8,14
"anafi","A small island situated between Thera and Amorgos",9,14
"highland","an elevated plain or plateau on a moon or planet",7,14
"cato","a cognomen used by the gens Porcia",9,14
"hemichous","measure for liquids, containing six cotyles",9,14
"panther","a panther",8,14
"last year","a year ago; last year",6,14
"male prostitute","male prostitute",8,14
"first attempt","first attempt",6,14
"lamone","a river in Cisalpine Gaul, now the river Lamone",8,14
"twine","twine",9,14
"anatolian","of Asia Minor, Anatolian",8,14
"android","android",8,14
"carotid","the carotid artery",9,14
"necessity","want, need, necessity",10,14
"gold piece","a piece of gold",7,14
"sunday","Sunday, Lord's Day",8,14
"galatia","Galatia (a historical region of ancient Asia Minor, in what is now central Turkey)",7,14
"went","second-person singular aorist active indicative of βαίνω (baínō)",10,14
"tax collector","a farmer or collector or the tolls, customs or taxes of a state, tax collector",8,14
"depository","depository",6,14
"marvellous","marvellous, wondrous, supernatural",8,14
"cooper","cooper, basketmaker, trunk-maker",8,14
"first","first, at first, in the first place, first of all, for the first time, in advance, immediately",10,14
"ebony","ebony tree, wood",9,14
"castalia","the naiad of a spring on Mount Parnassos where the Thyiades of Dionysus gathered to revel",10,14
"quintus","A masculine praenomen, originally used for a fifth-born son (not counting daughters).",13,14
"female emulator","female emulator",1,13
"early-ripening emmer","early-ripening variety of emmer (""wheat"").",1,13
"anaxibius","a male given name, Anaxibius",1,13
"barefoot","Without shoes, barefoot, unshod",1,13
"aurelian","Pertaining to Aurelian.",1,13
"dipaea","Dipaea, Arcadia, Greece",1,13
"dint","impression, dint, pit",1,13
"epimachus","a male given name, equivalent to English Epimachus",1,13
"distaff","distaff",1,13
"be born","to be born",1,13
"hinny","hinny (animal)",1,13
"homogeneity","homogeneity",1,13
"honorius","A Roman Emperor, Honorius",1,13
"indulgent","indulging, indulgent",1,13
"lacunar","lacunar (of or pertaining to a lacuna)",1,13
"glutton","A gluttonous person",1,13
"stellar","among the stars",1,13
"traitress","traitoress, female traitor, female betrayer",1,13
"putrefaction","putrefaction, rottenness",1,13
"puppy","young dog, whelp, puppy",1,13
"bate","Bate, Attica, Greece",1,13
"dun","a dirty grey color",1,13
"tereus","Tereus, king of Thrace and husband to Procne",1,13
"typhoeus","Typhoeus, a giant killed by Zeus and buried underneath Mount Aetna",1,13
"usurper","a female usurper; usurpress",1,13
"grandstand","A raised seat, chair or platform, chiefly for watching games.",2,13
"maidservant","maidservant",2,13
"arisba","Arisba, a city of Troad situated near Abydus",2,13
"cassibile","Cassibile (a river in eastern Sicily)",2,13
"hoariness","hoar; hoariness ; a grayish-white color",2,13
"celeia","a town in Noricum, now Celje in Slovenia",2,13
"claternae","a town in Cisalpine Gaul situated between Bononia and Forum Cornelii",2,13
"assembly","assembling, convoking",2,13
"decisively","critically, decisively",2,13
"two-winged","Two-winged.",2,13
"exemplary","exemplary (that serves as example)",2,13
"loathe","to loathe, dislike, despise",2,13
"herbarium","a herbarium; a collection of dried plants",2,13
"quicksilver","quicksilver (artificially prepared), mercury",2,13
"youthful","youthful",2,13
"alba longa","A city of Latium on the Alban hills",2,13
"mercury","mercury (element)",2,13
"senatorial","senatorial, of or pertaining to a member of the Roman Senate",2,13
"artemisia","a plant also called artemisia",2,13
"centuriate","divided into centuries",2,13
"reciprocal","reciprocal, alternate",2,13
"old-fashioned","old-fashioned",2,13
"counselor","counselor, adviser, conciliator (female)",2,13
"housemate","one who lives with another, a housemate",3,13
"amantia","Amantia",2,13
"fornicator","fornicator (male)",2,13
"hellenize","to imitate the Greeks, live in the Greek manner",2,13
"sterlet","sterlet",2,13
"monotone","of one tone",2,13
"pelopid","a child of Pelops; a Pelopid; one of the Pelopidae",2,13
"penelope","a female given name, Penelope",2,13
"canis minor","Canis Minor",3,13
"cadmia","A kind of cadmia",2,13
"quivering-helmeted","with quivering helmet",4,13
"wedded","wedded",3,13
"to demolish","to demolish",2,13
"colonus","Colonus, Greece",4,13
"dioscurus","a Dioscurus; one of the two Dioscuri; either one of Castor or Pollux",4,13
"having accused","having accused",3,13
"philological","of or pertaining to the study of language, of literature and grammar; linguistic, philological, grammatical",2,13
"high-seated","sitting high on the benches (of a rower)",2,13
"nightjar","nightjar, bittern or similar bird",3,13
"sardinian","One of the tribes who inhabited the interior of Sardinia",3,13
"corrective","rectifying, rectification",3,13
"sandal-maker","sandal-maker",3,13
"bugbear","a mean to excite terror, scarecrow, bugbear",4,13
"truncated","truncated",3,13
"bread eater","flour eater, bread eater.",4,13
"gallus","gallus, one of the priests of Cybele in Phrygia that typically castrated themselves",4,13
"george barker","A botanical plant name author abbreviation for botanist George Barker (1776-1845).",4,13
"turnip","a type of turnip, perhaps earthnut, Bunium ferulaceum",2,13
"cutter","cutter, yacht",3,13
"cholera","cholera",5,13
"gnats","stinging insects; gnats",3,13
"smeared around","Smeared around",3,13
"condensed","thickened, condensed, having been condensed",4,13
"proven","shown, having been shown; proven, having been proven",2,13
"desultory","desultory",3,13
"dositheus","a male given name, equivalent to English Dositheus",4,13
"interrogation","questioning, interrogation",3,13
"debauchee","catamite, cinaedus, debauchee",3,13
"praiseworthy","which is to be praised",3,13
"white marble","white marble",4,13
"misfortune","misfortune",4,13
"molybdenum","molybdenum (chemical element 42)",3,13
"bandage","upper or outer bandage",2,13
"far-shining","far-shining, far-beaming",2,13
"lockbox","prince's lockbox",4,13
"cleavable","that can be easily split or cleft",4,13
"billowy","full of waves, surging, billowy",2,13
"gnat","a type of gnat",3,13
"supplementary","accessory; supplementary",4,13
"samos","an island near Ephesus, in modern Turkey",4,13
"serpent-footed","serpent-footed",5,13
"dysentery","dysentery",3,13
"aristogeiton","a male given name, equivalent to English Aristogeiton",3,13
"torn","torn off or away",2,13
"barney","A botanical plant name author abbreviation for botanist E.E. Barney (fl. 1877-79).",4,13
"oppress","to weigh down, oppress, depress",4,13
"mountebank","itinerant peddler or performer",4,13
"slept outdoors","slept outdoors",4,13
"imitative","imitative",2,13
"unjust","unjust, wrongful",4,13
"calf","young cow, calf, heifer",4,13
"liquorice","liquorice",3,13
"draught","That which is supped up",3,13
"abhorrent","repugnant; detestable",3,13
"octahedron","octahedron",4,13
"parody","parody",3,13
"pleasant","very pleasant etc",2,13
"pontifical","pontifical",2,13
"dalmatia","Dalmatia, a region on the east coast of the Adriatic Sea.",4,13
"september","alternative letter-case form of September: of September",5,13
"young slave","young slave",3,13
"torn away","taken away or snatched forcibly away or with violence, torn away, dragged away, forced off or away",3,13
"bosporus","Bosporus",4,13
"wooden peg","wooden peg",6,13
"five-sixths","a sixth less than the whole, thus five-sixths (especially of a foot, or of an hour)",4,13
"ethical","ethic, ethical",3,13
"chattered","chattered",3,13
"lysicles","a male given name, equivalent to English Lysicles",3,13
"beloved","very dear or beloved",4,13
"regeneration","regeneration",2,13
"pack-saddle","relating to or having a pack saddle, to carrying loads",3,13
"serifos","Serifos, one of the Cyclades",3,13
"must","boiled down new wine, often used as a syrup",5,13
"safavid","Sophy, Safawi",3,13
"tarpeian","of or pertaining to the gens Tarpeia.",2,13
"shrill-sounding","ringing, tinkling, shrill-sounding",3,13
"anti-lebanon","Anti-Lebanon",4,13
"aramaean","an Aramaean",7,13
"silken","silken",7,13
"loosening","relaxation, slackening, loosening",5,13
"poet","A Greek poet of Lindus",4,13
"descent","running down, downward course, descent; declivity",5,13
"carried away","carried down or away, having been carried down or away",4,13
"domineer","to be lord and/or master or have dominion, domineer",7,13
"sent forth","sent forth",4,13
"said","third-person singular aorist middle indicative unaugmented of λέγω (légō)",6,13
"gymnastic","gymnastic",4,13
"swinecress","a coastal plant, perhaps Lepidium coronopus",4,13
"heptamerous","having seven parts, heptamerous, septempartite",4,13
"orval","orval (Salvia viridis)",4,13
"jairus","Jairus",5,13
"justinianian","Justinian, Justinianian; of, belonging to, pertaining to, or relating to the emperors Jūstīnus (Justin) or Jūstīniānus (Justinian)",3,13
"woolworking","working in wool (namely, spinning, weaving, etc.)",3,13
"nine-day","of or belonging to nine days",3,13
"western","of or belonging to the west, western",5,13
"eye ointment","the name of an eye ointment",6,13
"patellula","patellula",3,13
"plummet","plumbline, plummet",5,13
"redden","to color red",5,13
"braying","roaring or braying",5,13
"swaggerer","A swaggerer, a braggart",5,13
"subgenus","subgenus",4,13
"may rain","third-person singular present active optative of ῡ̔́ω (hū́ō)",6,13
"thrombus","thrombus",5,13
"lesbian","lesbian, woman who has sex with women",3,13
"avengeress","avengeress, avenger, punisher (female)",5,13
"mazaces","a male given name, Mazaces, from Old Persian, last satrap of Egypt",6,13
"yoke loop","loop attached to the yoke, through which the beasts's head were put",5,13
"having met","aorist active participle of ἀντιάω (antiáō)",4,13
"kimolos","One of the Cyclades situated between Melos and Siphnos",5,13
"distrusted","distrusted",5,13
"drinking plate","drinking plate",8,13
"seat","seat",6,13
"ionian","of or belonging to Ionia, Ionian",5,13
"town hall","public building, town hall",5,13
"czech","Czech Republic, Czechia (a country in Central Europe)",4,13
"counselor","counselor, adviser",4,13
"amethyst","A precious stone sacred to Bacchus",5,13
"precede","to appear before",7,13
"oyster","of or pertaining to oysters",5,13
"palesian","Of or belonging to Pales",7,13
"prussia","Prussia (a geographical area on the Baltic coast of Northeast Europe)",6,13
"pebble","a pebble",5,13
"sieve","sieve, strainer",7,13
"solidify","to make, or become solid, firm, etc.",8,13
"sophene","Sophene (an ancient province of the kingdom of Armenia in modern-day southeastern Turkey)",5,13
"quadrangle","quadrangle",4,13
"cupping","cupping glass, cupping",5,13
"tlepolemus","a male given name, equivalent to English Tlepolemus",4,13
"headdress","A high headdress, formed by plaiting the hair in a cone over the forehead, worn expecially by the Flamen and his wife",8,13
"larcius","Larcius",7,13
"sometimes","at a time other than the present; at another time, at other times, on another occasion, sometimes",6,13
"double-pointed","pointed at each end; double-pointed",5,13
"indeed","apocopic form of δηθά (dēthá)",6,13
"canadian","Canadian; found in Canada",7,13
"bath","bath, an area or room where bathing takes place",7,13
"crackle","Doric and later Greek form of ληκέω (lēkéō) (to crack, crackle)",5,13
"cowherd","A person who tends cattle: cowherd",8,13
"calliphon","a male given name, equivalent to English Calliphon",7,13
"pebble","small stone, pebble",6,13
"decurion","decanus, decurion",6,13
"tocharian","a member of the Tochari",6,13
"hermaphrodite","of doubtful or twofold sex, androgynous, hermaphrodite",6,13
"lingua","pre-classical form of lingua (attested in Gaius Marius Victorinus)",9,13
"welt","weal, swollen bruise",4,13
"workhouse","penitentiary, workhouse (or its residents)",7,13
"oven-baked","of or belonging to an oven, baked in an oven",5,13
"belle-île","The island of Belle-Île in France",6,13
"married","under a man, subject to said man, married",7,13
"will remain","contracted second/third-person dual future active indicative of μένω (ménō)",7,13
"murrey","A dark red tincture",7,13
"laceria","Laceria, Thessaly, Greece",8,13
"bath","bath, bathing-place",6,13
"pamphylia","Pamphylia (region in Asia Minor, first a country and then part of a Roman province)",4,13
"clausus","A Sabine leader who assisted Aeneas",6,13
"septic","putrefactive, septic",7,13
"guardian","watcher, protector, defender",9,13
"borne","carried, conveyed, driven, transported",6,13
"bashful","to be bashful, shy or verecund",8,13
"fish sauce","fish sauce",10,13
"saddlebag","portmanteau, saddlebag(s)",10,13
"this year","this year",6,13
"obedient","listening [with dative 'to someone']",7,13
"gladden","to gladden, cause to rejoice",7,13
"stirred","stirred",8,13
"luso","Alternative letter-case form of Luso-.",8,13
"magnesian","Magnesian; of Magnesia",9,13
"nuclear","nuclear",10,13
"pentecost","alternative letter-case form of Pentēcostē",8,13
"brick-built","made or built of bricks",9,13
"ewe","An old sheep that has recently given birth to a lamb",8,13
"solomon","a male given name from Hebrew, equivalent to English Solomon (the son of David and third king of Israel)",8,13
"treble","the highest note of a musical instrument",8,13
"osuna","a town in Hispania Baetica, now Osuna",7,13
"novana","a town of Picenum mentioned only by Pliny and situated near Asculum and Cupra",9,13
"maltreat","to treat with violence; to maltreat",10,13
"appearance","sight, appearance",6,13
"very fiery","very fiery",8,13
"waxstone","A precious stone similar to wax",10,13
"nemerteans","Marine worms, including the ribbon worms, bootlace worms, or proboscis worms",12,13
"hibernation","a passing of the winter, hiemation, hibernation",10,13
"tanaro","A river of Liguria and one of the longest tributaries of the Padus, now the Tanaro",8,13
"stridor","a harsh, shrill, hissing, grating, or creaking sound",12,13
"yolk","Yolk.",9,13
"quickening","quickening",1,12
"alyattes","A king of Lydia and father of Croesus",1,12
"aspergillus","Combining form of aspergillus (Aspergillus).",1,12
"flute-girl","A flute-girl in ancient Greece, whose services may also have been sexual.",1,12
"syvash","the Syvash (network of lagoons forming a western arm of the Sea of Azov)",1,12
"cervaro","a river in Apulia, that formed the boundary of the Daunii's territory, now the river Cervaro",1,12
"chaonian","An inhabitant of Chaonia; a Chaonian",1,12
"gluteal","related to the buttocks",1,12
"judgment","a judicial decision, verdict, or judgment",1,12
"december","alternative letter-case form of December: of December",1,12
"having plundered","having plundered",1,12
"said","haplological form of dīxisse (perfect active infinitive of dīcō)",1,12
"charidemus","a male given name, equivalent to English Charidemus",1,12
"unfolding","unfolding, unfurling, uncoiling, loosening",1,12
"leaping up","leaping up",1,12
"billowy","full of waves, billowy",1,12
"chaonia","Chaonia",1,12
"mistletoe","mistletoe (Viscum album)",1,12
"demosthenes","A celebrated Attic orator",1,12
"female leopard","female leopard",1,12
"firewood-fetched","having fetched firewood",1,12
"magisterial","Of or pertaining to a master, teacher or expert.",1,12
"nabataean","Relating to the Nabataean people, their kings, art, architecture, religion, language, or script.",1,12
"catchfly","catchfly (Silene gallica)",1,12
"written out","written out",1,12
"sigmund","a male given name, equivalent to English Sigmund",1,12
"seed-picking","picking up seeds",1,12
"sthenoboea","Sthenoboea",1,12
"subclavate","subclavate",1,12
"accustomed","habituated, accustomed, used to",1,12
"territorial","territorial; of or pertaining to a territory.",1,12
"timber monopoly","a timber monopoly",1,12
"apostate","apostate",2,12
"benefactor","benefactor; one who confers a favour",2,12
"defecate","desiderative of χέζω (khézō)",2,12
"cloud-black","black with clouds",2,12
"encompassed","encompassed",2,12
"contiguous","united, connected; (of places) adjoining, contiguous, bordering upon, near",2,12
"having obtained","aorist active participle of τῠγχᾰ́νω (tŭnkhắnō)",2,12
"germanium","germanium",2,12
"hyoid","hyoid",2,12
"inactive","inactive",2,12
"plowman","plowman, tiller of the soil",2,12
"laocoön","name of a mythical character; Laocoön who was attacked by giant serpents",2,12
"gift","Old Latin form of dōnum",2,12
"umbel","inflorescence of the silphium",2,12
"transferable","which is to be sold, transferred, surrendered",2,12
"honey-bearing","honey-bearing",2,12
"irksomeness","trouble, troublesomeness, irksomeness",2,12
"lake moeris","Lake Moeris, Egypt",2,12
"patron","a protector, patron",2,12
"philoctetes","a male given name of historical usage, equivalent to English Philoctetes",2,12
"bratislava","Bratislava (the capital city of Slovakia)",2,12
"snake-shaped","snake-shaped; having the form of a serpent",2,12
"sidereal","sidereal (of or relating to the stars)",2,12
"spalirises","a male given name, Spalirises, from Proto-Saka, an Indo-Scythian king",2,12
"pierced through","pierced through",2,12
"aegisthus","Aegisthus",3,12
"argolis","Argolis (an ancient region of Greece)",2,12
"cynuria","Cynuria",2,12
"flautist","flautist",3,12
"winter quarters","winter quarters; a winter residence",3,12
"poet","A Greek poet born in Ephesus",2,12
"admitted","admitted",3,12
"lupercus","Lupercus",3,12
"thicken","to thicken, fatten",2,12
"phylarch","phylarch",2,12
"pilleus-wearing","wearing a pilleus",3,12
"struck","struck, having been struck back",2,12
"cutpurse","A cutpurse, swindler, pickpocket.",2,12
"accustomed","to be accustomed, wont",2,12
"manure","to dung, to manure",2,12
"arithmetician","arithmetician",2,12
"slave-king","slave-king at festivals in Babylonia",3,12
"containing wormwood","Containing wormwood",2,12
"alphesiboea","Alphesiboea",2,12
"tall-spined","having tall spines",2,12
"oxeye daisy","the yellow ox-eye daisy",4,12
"biblical","biblical",3,12
"rump","little rump; buttocks",4,12
"cockayne","A botanical plant name author abbreviation for botanist Leonard C. Cockayne (1855-1934).",2,12
"cardiac","of the heart, heart-, cardiac",2,12
"falling headfirst","falling headfirst",3,12
"demoleon","Demoleon, son of Antenor slain by Achilles",2,12
"savory","savory, delicious",4,12
"halcyon","halcyon (pertaining to days during the winter when storms do not occur)",2,12
"incisor","incisor",4,12
"gravedigger","gravedigger",2,12
"orchestra","space on which the chorus danced, orchestra",2,12
"pancake","round pancake made of flour, cheese and water",2,12
"meleager","a male given name, Meleager",2,12
"swift running","swift running",4,12
"having tarried","having tarried",2,12
"sieve","a kind of sieve",3,12
"visible","that may be seen, visible",3,12
"xeno-","xeno-",3,12
"nourishing food","nourishing food",4,12
"lisping","lisping, stammering",2,12
"callinicum","Callinicum (an ancient city in Syria, corresponding to modern-day Raqqa)",5,12
"cheimerium","Cheimerium (a city in Thesprotia, Epirus, Greece)",5,12
"anointing","anointing",3,12
"desisted","desisted",4,12
"tillage","tillage",3,12
"metropolitan","metropolitan",3,12
"filthy","nasty, dirty, filthy, stinking",3,12
"pedestrian","that follows on foot",2,12
"petrification","petrification",5,12
"princess","princess",2,12
"babel","Babel",4,12
"rose-coloured","rose-coloured",2,12
"mangy","scabby, mangy, itchy",3,12
"roof-shingle","roof-shingle",3,12
"given name","a male given name, Sisamnes, from Old Persian, a Persian corrupt judge",2,12
"oily","oily, greasy, unctuous",3,12
"utilitarian","that is for use, that is in service: utilitarian",3,12
"thornax","The name of a town and mountain of Laconia",2,12
"seaweed-dwelling","That supports itself on seaweed or lives upon it.",5,12
"division","division (part of a whole)",3,12
"asculum","Asculum",4,12
"arsaces","A king of the Parthians",3,12
"curling iron","curling iron, curling tongs",4,12
"jackdaw","jackdaw (Coloeus monedula)",5,12
"cutaneous","cutaneous",4,12
"fermented","leavened, fermented",4,12
"lightning priest","A priest who interpreted omens from lightning",3,12
"carrier","a bearer, carrier",3,12
"thyme","The Gaulish name for the serpyllum",4,12
"lotus-eater","one of the Lotophagi",4,12
"darling","object of care, beloved object",3,12
"hare stew","hare-soup or jugged hare, with the blood of the animal in it",3,12
"cauldron","copper vessel, cauldron",5,12
"defile","to stain, sully, defile",3,12
"apocopic form","apocopic form of οἰκτρᾰ́ (oiktrắ), οἰκτρᾱ́ (oiktrā́), and οἰκτρέ (oiktré)",3,12
"tolerable","tolerable, endurable",4,12
"first-born","first-born",4,12
"hastened","hastened",4,12
"pluck","to touch sharply; to pluck; to pull; to twitch; to twang",2,12
"crawled upon","on which one has crawled",5,12
"sympathetic","affected by like feelings; sympathetic",3,12
"messenger","a courier, a messenger, a runner, a footman",4,12
"urbanely","urbanely",5,12
"aemilian woman","Aemilia; any female individual among the Aemilius family",2,12
"sacrificial ram","sacrificial ram",3,12
"seaweedy","Abounding or covered in seaweed.",3,12
"pleasantly","in a pleasant or attractive manner, pleasantly, agreeably",4,12
"mallow-stalk","of stalks of mallow",4,12
"amsterdam","Amsterdam (the capital city of the Netherlands)",4,12
"chemmis","Chemmis; Akhmim, Egypt",2,12
"bent","bent or bound",3,12
"threshing-floor","of or pertaining to a threshing floor",5,12
"roman","Italian, Roman",2,12
"buttocks","buttocks, sit-upon",4,12
"threw in","second-person singular aorist active indicative unaugmented of ἐμβάλλω (embállō)",6,12
"metonymy","metonymy",3,12
"given name","An ancient Greek given name.",3,12
"thither","thither, to that place, to there",4,12
"untried","untried, not having tried, unused, unproven",4,12
"leucadian","Leucadian (of, from or relating to Leucas)",4,12
"linen-clad","clothed in linen",3,12
"blue lotus","The Egyptian lotus flower, Nymphaea caerulea",3,12
"messenia","Messenia",3,12
"carrion","dead (that has died naturally); carrion",4,12
"mytilene","Mytilene",4,12
"nagidus","Nagidus, Cilicia, Turkey",3,12
"rocky places","rocky places",3,12
"juvenile","of or belonging to young animals",7,12
"reggio emilia","a town in Cisalpine Gaul situated between Mutina and Parma, now Reggio Emilia",6,12
"favorable","with a fair wind; sending a fair wind",2,12
"villatic","related to a vīlla",3,12
"arboretum","arboretum, plantation of trees.",5,12
"athanasius","a male given name, equivalent to English Athanasius",4,12
"reeden","made of reed or cane",5,12
"cart-related","pertaining to a cart",4,12
"cassiopeia","Cassiopeia, name of several figures in Greek mythology",7,12
"small stones","small stones",7,12
"mussel","a small kind of mussel or cockle",5,12
"pollution","contamination, pollution",7,12
"daedala","Daedala, Caria, Turkey",4,12
"delminium","the ancient capital of Dalmatia, destroyed by the Romans",6,12
"sprinkled","sprinkled over, strewn upon; having something scattered on the surface",3,12
"sayable","which is to be spoken, said, told, foretold, related, predicted",6,12
"feigned","feigned, artificially produced",4,12
"sent","sent in, into, on or against; having been, etc.",3,12
"unspoken","unspoken",4,12
"workshop","of the workshop",6,12
"hephaesteum","a temple of Hephaestus",5,12
"stratian","an inhabitant of Stratus or Stratos; a Stratian",6,12
"inpouring","Anything poured in beside.",5,12
"paulinus","Paulinus",6,12
"phocus","Phocus",5,12
"perishable","destructible, perishable",5,12
"porthmus","Porthmus, Euboea, Greece",5,12
"hyperion","Hyperion",5,12
"suffix","A suffix forming the present stem of some verbs from stems in the consonant π (p)",7,12
"pyxae","Pyxae, Kos, Greece",3,12
"reverted","returned, reverted",3,12
"sediment","settling, sediment",5,12
"condrusi","a Germanic tribe of Gallia Belgica, between the Eburones and Treviri, now Signei, near Condroy,",6,12
"sail-bearing","sail-bearing, covered with sails",4,12
"bitten","bitten/gnawed, having been bitten/gnawed",3,12
"something heard","something heard",6,12
"franz antoine","A botanical plant name author abbreviation for botanist Franz Antoine (1815-1886).",5,12
"astrolabe","astrolabe",4,12
"bugloss","oxtongue, bugloss (plant)",6,12
"stork","stork (or similar bird)",7,12
"allowance","daily allowance, wage (of food or pay)",6,12
"euphorbus","Euphorbus, a figure in the Iliad",5,12
"tartar","tartar deposited in a form of a crust by wine",5,12
"violet coloured","violet coloured",6,12
"konya","Konya (a city in modern Turkey)",8,12
"negligence","lack of care, carelessness, negligence, neglect",5,12
"yolanda","a female given name, equivalent to English Yolande or Yolanda",4,12
"priest","kind of priest in Lydia",8,12
"contemplate","to think or reflect upon, consider, contemplate, ponder, meditate (upon); intend",6,12
"promenade","A place where one can stroll; a promenade",6,12
"olizon","Olizon, Magnesia, Greece",5,12
"sycurium","Sycurium, Thessaly, Greece",6,12
"gait","bearing, walk, gait",7,12
"moderate","very moderate, temperate or restrained",3,12
"descendants","descendants",8,12
"priapic","of or belonging to Priapus",6,12
"prominence","a jutting out, prominence",8,12
"mange","mange in foxes",6,12
"sicily","Sicily (an island and former kingdom in Europe)",5,12
"sidus","Sidus, Corinthia, Greece",5,12
"rhenium","rhenium",6,12
"esparto-made","made of esparto",6,12
"sossius","river Sossius, Sicily, Italy",5,12
"uterine","uterine (all senses)",8,12
"andrews","A botanical plant name author abbreviation for botanist Henry Charles Andrews (1794-1830).",8,12
"aletium","A town of the Salentini in the interior of Calabria",7,12
"gatekeeper","a gatekeeper",6,12
"unfortunate","ill-starred, unfortunate",6,12
"breuni","A pre-Roman tribe of the Alps, who dwelt in the north of the modern Tyrol",6,12
"maxyes","Maxyes, a Libyan tribe mentioned by Herodotus",7,12
"calumniate","to depreciate, misrepresent, cavil at, calumniate, blame unjustly, blackmail",6,12
"chariot","chariot",8,12
"alans","Alans (Scytho-Sarmatian tribe dwelling near the river Tanais north of the Black Sea)",7,12
"purge","to carry off by evacuations",7,12
"condemnation","condemnation",7,12
"sulphur","A kind of sulphur",7,12
"ambrysus","Ambrysus, Phocis, Greece",7,12
"racial","of or belonging to the γένος (génos), racial",8,12
"cassander","a male given name, Cassander",8,12
"wealth","enrichment, wealth",6,12
"nasica","Nasica",7,12
"coach","coach (carriage for carrying people) with four wheels",7,12
"consecrate","to declare or set apart as sacred; consecrate, dedicate, hallow or devote; sanctify, enshrine",8,12
"tumour","A hard swelling or tumour",5,12
"having testicles","having testicles",9,12
"rhodanusia","An island situated at the mouth of the Rhodanus",10,12
"pleasantly","pleasantly, agreeably",11,12
"rebuke","rebuke; reproof; reproach",8,12
"chemical","Relating to or using chemicals or chemistry.",9,12
"seizure-related","Of or relating to a condition of seizing, as in nympholeptic.",11,12
"iceni","Iceni",11,12
"manganic","manganic",9,12
"sulphur-colored","sulphur-colored",1,11
