term,gloss,forms,occurrences
"enfolding","covering, enfolding, enveloping",131,3460
"taunt","taunt",272,3459
"black oak-fern","black oak-fern (Asplenium onopteris)",7,3435
"forceps","tongs, pincers, forceps",210,3435
"clansman","clansman",341,3419
"cylon","Cylon",538,3412
"aunt","aunt",387,3410
"thrifty","sparing, thrifty",242,3398
"ham","a male given name from Hebrew, variant of Chāmus",408,3388
"three each","three each; three at a time",413,3382
"fraud","deception, fraud",310,3365
"gentian","gentian (any of various herbs of the family Gentianaceae)",27,3360
"ceaseless wandering","ceaseless wandering",691,3360
"cleft","a cleft, crack, fissure, chink",278,3359
"grey","grey, of any colour mixed of black and white",536,3358
"mina","a Greek weight equal to 100 drachmas",576,3357
"cicada","cicada, tree-cricket",102,3345
"rome","Rome (a major city, the capital of Italy and the Italian region of Lazio, located on the Tiber River; the ancient capital of the Roman Empire)",561,3329
"peperomia","peperomia",8,3314
"made","Made of or made from.",168,3308
"shaggy","shaggy",623,3290
"foliage","foliage",125,3286
"northern","northern",27,3285
"arable","arable",393,3284
"turnip","turnip",417,3282
"oleander","rosebay, oleander (Nerium oleander)",3,3271
"cloak","outer garment also used as blanket: cloak, mantle, wrapper",116,3271
"woodlouse","woodlouse",462,3265
"puffball","paltry puffball (Bovista plumbea)",140,3233
"berga","Berga, Macedonia, Greece",891,3225
"bidirectional","going two ways, hither and thither, moving from side-to-side",60,3219
"parsley","parsley (with fragrant leaves)",530,3219
"firefly","a firefly, glowworm",6,3216
"darkening","darkening, obscuring, obscuration",342,3215
"bugloss","viper's bugloss, a plant which was taken as a remedy for the viper's bite",311,3213
"thighbones","thigh-bones (femora) wrapped in two folds of fat for votive immolation",348,3197
"sage","sage (the plant)",53,3190
"baiae","Baiae (an ancient resort town on the Bay of Naples)",652,3190
"fleece","woolen skin, fleece",806,3188
"amenemhat","Pharaoh Amenemhat III of Ancient Egypt",630,3182
"threshing floor","threshing floor",359,3176
"sora","an ancient city in Latium, situated in the valley of the Liris, now Sora",545,3172
"nisida","A small island in the gulf of Naples, now Nisida",612,3169
"without cause","without cause",709,3158
"mussel","a kind of mussel",243,3151
"stature","Growth, stature, especially fine growth or noble stature.",425,3151
"stellar","Relating to stars.",295,3142
"garlic","garlic",450,3130
"coconut","coconut",570,3127
"pallidum","Pallidum (pale globe) in the basal ganglia of the brain.",419,3125
"spacious","large, spacious, roomy",359,3119
"kernellous","full of kernels",128,3108
"laundryman","laundryman (man who washes things)",364,3107
"myron","a male given name, equivalent to English Myron",279,3107
"unarmed","unarmed, defenceless",86,3094
"gudgeon","gudgeon (Gobio gobio and similar fish)",335,3094
"bustard","bustard (Otis tarda)",202,3094
"apama","a female given name, Apama, from Old Persian",581,3089
"reprisal","right of seizure of a ship or its cargo of a foreign merchant, to cover losses received through him",707,3070
"shining white","shining white",106,3063
"chestnut","chestnut",92,3050
"gala","A king of Numidia and father of Masinissa",778,3046
"becoming blackish","becoming blackish",61,3044
"ductile","ductile (able to be formed into a bar)",79,3038
"stone-crushing","stone-crushing, stone-breaking",19,3035
"toward","Added to stems to form demonstratives: to, toward",396,3032
"shovel","A shovel, spade.",338,3031
"kythira","Kythira (also spelt Cythera, Kythera or Kithira), one of the seven major Ionian Islands, Greece.",210,3028
"firewood","log to burn",315,3027
"long-legged","long-footed, long-legged",21,3023
"will say","contracted third-person singular future active indicative of εἴρω (eírō)",634,3021
"clio","Clio",269,3016
"you buy","contracted second-person singular present mediopassive indicative/subjunctive of ὠνέομαι (ōnéomai)",729,2998
"metope","metope",247,2997
"maues","a male given name, Maues, from Proto-Saka, an Indo-Scythian king",656,2996
"saw-toothed","saw-toothed",537,2994
"xenon","xenon",534,2993
"unseen","unseen, invisible",286,2986
"caius","Caius",809,2986
"distribute","to deal out, distribute, dispense, to count, to divide by number",198,2985
"deceptive","deceptive, deceitful",36,2978
"apex","The extreme end of a thing; the point, summit, top.",682,2977
"southeast wind","the southeast wind",519,2966
"reddish","reddish",479,2965
"laius","Laius",678,2961
"beautiful","beautiful, handsome",6,2953
"mime","mime, farce",119,2947
"ivory","ivory (material)",226,2944
"giga","Multiplying the unit to which it is attached by 230 or 1,073,741,824.",149,2932
"raphe","raphe",341,2903
"mountaineer","mountain dweller, mountaineer",57,2895
"nourishment","nourishment",488,2886
"she-wolf","she-wolf",48,2878
"ode","an ode",345,2872
"fair wind","fair wind",420,2869
"sylvan","of the woods, sylvan",29,2869
"hoarseness","hoarseness",641,2868
