term,occurrences,missing
"dinar",111,"dinar"
"radar",111,"radar"
"yen",111,"yen"
"blizzard",111,"blizzard"
"rune",110,"rune"
"tutu",110,"tutu"
"cancer",110,"cancer"
"-chorous",110,"chorous"
"gallup poll",110,"gallup"
"humane",110,"humane"
"celestial phenomena",109,"celestial phenomena"
"electrode",109,"electrode"
"girasol",109,"girasol"
"guillemot",109,"guillemot"
"acne",108,"acne"
"flautist",108,"flautist"
"app",108,"app"
"shad",108,"shad"
"priory",108,"priory"
"theo-",107,"theo"
"hydro-",107,"hydro"
"turmeric",107,"turmeric"
"rabbet plane",107,"rabbet"
"somewhat obscure",106,"obscure"
"charioteer",106,"charioteer"
"priestess",106,"priestess"
"udder",106,"udder"
"regiment",106,"regiment"
"congress",106,"congress"
"arsenal",106,"arsenal"
"epazote",106,"epazote"
"radio beacon",106,"radio beacon"
"zenith",106,"zenith"
"citizen",105,"citizen"
"mesa",105,"mesa"
"lux",105,"lux"
"elegance",105,"elegance"
"indo-",105,"indo"
"licensed",105,"licensed"
"mamba",105,"mamba"
"spinnaker",104,"spinnaker"
"guinea pig",104,"guinea"
"kangaroo",104,"kangaroo"
"lingam",104,"lingam"
"lax",104,"lax"
"fluke",104,"fluke"
"khural",104,"khural"
"territorial",104,"territorial"
"squash",104,"squash"
"cormorant",104,"cormorant"
"ness",104,"ness"
"talisman",104,"talisman"
"weasel",103,"weasel"
"-philic",103,""
"alvine",103,"alvine"
"bedside table",103,"bedside"
"maxim",103,"maxim"
"ecological",103,"ecological"
"calabash",103,"calabash"
"ninth",102,"ninth"
"inconvenient",102,"inconvenient"
"groan",102,"groan"
"argument",102,"argument"
"ascetic",102,"ascetic"
"slingshot",102,"slingshot"
"bougainvillea",102,"bougainvillea"
"thud",102,"thud"
"lysine",101,"lysine"
"sculptor",101,"sculptor"
"doline",101,"doline"
"labyrinth",101,"labyrinth"
"proof",101,"proof"
"criminal",100,"criminal"
"oboe",100,"oboe"
"textile",100,"textile"
"gable",100,"gable"
"domestic animal",99,"domestic"
"imam",99,"imam"
"linden tree",99,"linden"
"cigarette butt",99,"cigarette"
"duma",99,"duma"
"pasta",99,"pasta"
"fava bean",99,"fava"
"mercer",99,"mercer"
"steeplechase",99,"steeplechase"
"machete",99,"machete"
"cistern",99,"cistern"
"unskilled",98,"unskilled"
"immigrant",98,"immigrant"
"stipe",98,"stipe"
"cyanogen",98,"cyanogen"
"hangar",98,"hangar"
"blackberry bush",98,"blackberry"
"christmas present",98,"christmas"
"fistula",98,"fistula"
"coppersmith",97,"coppersmith"
"chlorine",97,"chlorine"
"chic",97,"chic"
"lazy",97,"lazy"
"to sue",97,"sue"
"pub",97,"pub"
"sharqi",97,"sharqi"
"parochial",97,"parochial"
"quagmire",97,"quagmire"
"reel",97,"reel"
"nasty",97,"nasty"
"holiday",97,"holiday"
"castrated he-goat",96,"castrated"
"lyrist",96,"lyrist"
"terebinth",96,"terebinth"
"furrier",96,"furrier"
"racket",96,"racket"
"termite",96,"termite"
"coach box",96,"coach"
"participant",96,"participant"
"nickel",96,"nickel"
"transalpine",95,"transalpine"
"codling moth",95,"codling"
"file",95,"file"
"oratorio",95,"oratorio"
