term,occurrences,missing
"moses basket",45,"moses"
"barite",45,"barite"
"turbeh",45,"turbeh"
"zine",45,"zine"
"arid",45,"arid"
"to ally",45,"ally"
"jangada",45,"jangada"
"curiosity",45,"curiosity"
"reverend",45,"reverend"
"patriarch",45,"patriarch"
"tortilla",45,"tortilla"
"encounter",45,"encounter"
"cabaret",45,"cabaret"
"saliva",45,"saliva"
"wiki",45,"wiki"
"muleteer",45,"muleteer"
"augmented",44,"augmented"
"vagabond",44,"vagabond"
"dislocated",44,"dislocated"
"murderess",44,"murderess"
"exhausted",44,"exhausted"
"abyss",44,"abyss"
"poly-",44,""
"butch",44,"butch"
"welfare",44,"welfare"
"adze",44,"adze"
"hospice",44,"hospice"
"kowtow",44,"kowtow"
"landau",44,"landau"
"åland",44,"åland"
"marshy pasture",44,"marshy"
"rhenate",44,"rhenate"
"spyglass",44,"spyglass"
"boatswain",44,"boatswain"
"pants",44,"pants"
"quack",44,"quack"
"galaxy",44,"galaxy"
"tabby",44,"tabby"
"grub",44,"grub"
"trickle",44,"trickle"
"oxide",43,"oxide"
"greensward",43,"greensward"
"dimness",43,"dimness"
"karst",43,"karst"
"salt lick",43,"lick"
"hypha",43,"hypha"
"tsimané",43,"tsimané"
"refreshment",43,"refreshment"
"gum cistus",43,"cistus"
"caravan travellers",43,"caravan travellers"
"tetra pak",43,"tetra pak"
"caulker",43,"caulker"
"headkerchief",43,"headkerchief"
"prospector",43,"prospector"
"quinoa",43,"quinoa"
"boulder",43,"boulder"
"secure",43,"secure"
"turbot",43,"turbot"
"leisure",43,"leisure"
"hyrax",43,"hyrax"
"fillet",43,"fillet"
"ellipsis",42,"ellipsis"
"drachma",42,"drachma"
"imitable",42,"imitable"
"piratical",42,"piratical"
"parallelogram",42,"parallelogram"
"sanctified",42,"sanctified"
"spittle",42,"spittle"
"d-flat",42,"d"
"riparian forest",42,"riparian"
"peta-",42,"peta"
"muzzle",42,"muzzle"
"costa rican",42,"costa rican"
"abrupt",42,"abrupt"
"polycarpaea repens",42,"polycarpaea repens"
"dried okra",42,"okra"
"arras",42,"arras"
"buccal",42,"buccal"
"limekiln",42,"limekiln"
"carmelite nun",42,"carmelite"
"kibbutz",42,"kibbutz"
"fairywren",42,"fairywren"
"sentence",42,"sentence"
"tare",42,"tare"
"hooligan",42,"hooligan"
"larynx",41,"larynx"
"pork",41,"pork"
"haste",41,"haste"
"shearwater",41,"shearwater"
"violin",41,"violin"
"clone",41,"clone"
"-gene",41,""
"fishing tackle",41,"tackle"
"to binge",41,"binge"
"gusan",41,"gusan"
"canary bird",41,"canary"
"to crib",41,"crib"
"pausa",41,"pausa"
"penitent",41,"penitent"
"rondeau",41,"rondeau"
"vigilance",41,"vigilance"
"chill",41,"chill"
"unharmed",40,"unharmed"
"distrusting",40,"distrusting"
"crate",40,"crate"
"bale",40,"bale"
"tulle",40,"tulle"
"logo",40,"logo"
"ficus thonningii",40,"ficus thonningii"
"billiards",40,"billiards"
"winch",40,"winch"
"suckling goat",40,"suckling"
"kaolin",40,"kaolin"
"muskellunge",40,"muskellunge"
"bridge deck",40,"deck"
"khamsin",40,"khamsin"
"ambiance",40,"ambiance"
"chayote",40,"chayote"
"cannonball",40,"cannonball"
"burg",40,"burg"
"meringue",40,"meringue"
"disturbance",39,"disturbance"
"einkorn wheat",39,"einkorn"
"epic",39,"epic"
"parietal",39,"parietal"
"acrostic",39,"acrostic"
"to skirmish",39,"skirmish"
"catarrh",39,"catarrh"
"innocent",39,"innocent"
"ethane",39,"ethane"
"astrolabe",39,"astrolabe"
"sock",39,"sock"
"butternut squash",39,"butternut squash"
"lee",39,"lee"
"abalone",39,"abalone"
"fyke",39,"fyke"
"freckle",39,"freckle"
"non-romani person",39,"romani"
"conchal",39,"conchal"
"religious habit",39,"religious"
"peregrine",39,"peregrine"
"maguari stork",39,"maguari stork"
"dermis",39,"dermis"
"creole",39,"creole"
"lurk",39,"lurk"
"ramp",39,"ramp"
"referee",39,"referee"
"awesome",39,"awesome"
"unwritten",38,"unwritten"
"small chimpanzee",38,"chimpanzee"
"putrefying",38,"putrefying"
"ballista",38,"ballista"
"female genitalia",38,"genitalia"
"acoustic",38,"acoustic"
"pussy",38,"pussy"
"roman consul",38,"roman consul"
"papaya",38,"papaya"
"pogo",38,"pogo"
"pickup truck",38,"pickup"
"to pollute",38,"pollute"
"lag",38,"lag"
"shrill",38,"shrill"
"southwest wind",38,"southwest"
"polycaprolactam",38,"polycaprolactam"
"crater",38,"crater"
"cabinet",38,"cabinet"
"jackfruit tree",38,"jackfruit"
"patrician",38,"patrician"
"tug",38,"tug"
"torpedo",38,"torpedo"
"manifold",38,"manifold"
"caramel",38,"caramel"
"artist",38,"artist"
"semiotics",37,"semiotics"
"first fruits",37,"first"
"bastardy",37,"bastardy"
"trident-bearing",37,"trident"
"refuge",37,"refuge"
"tithe",37,"tithe"
"raisin",37,"raisin"
"socage",37,"socage"
"stucco",37,"stucco"
"written agreement",37,"written"
"guild",37,"guild"
"to celebrate",37,"celebrate"
"caste",37,"caste"
"chullpa",37,"chullpa"
"aristocracy",37,"aristocracy"
"stampede",37,"stampede"
"velour",37,"velour"
"sabre",37,"sabre"
"silversmith",37,"silversmith"
"spruce",37,"spruce"
"alarm",37,"alarm"
"submarine",37,"submarine"
"maidenhair fern",36,"maidenhair"
"resinous pinewood",36,"pinewood"
"forthwith",36,"forthwith"
"turpentine",36,"turpentine"
"shortsightedness",36,"shortsightedness"
"minoan civilization",36,"minoan civilization"
"yacht",36,"yacht"
"heir",36,"heir"
"to populate",36,"populate"
"coup",36,"coup"
"maharani",36,"maharani"
"drone",36,"drone"
"dorade box",36,"dorade"
"to rollerblade",36,"rollerblade"
"aida cloth",36,"aida"
"macaque",36,"macaque"
"agentive suffix",36,"suffix"
"campaign",36,"campaign"
"orange blossom",36,"blossom"
"amethyst",36,"amethyst"
"cacao grove",36,"cacao"
"fjeld",36,"fjeld"
"grout",36,"grout"
"trebuchet",36,"trebuchet"
"urgent",36,"urgent"
"tannery",36,"tannery"
"allyl",36,"allyl"
"bureaucrat",36,"bureaucrat"
"karate",36,"karate"
"frieze",36,"frieze"
"ate up",35,"ate"
"fornicator",35,"fornicator"
"dental caries",35,"caries"
"european bison",35,"european bison"
"articular",35,"articular"
"unfaithful",35,"unfaithful"
"nerd",35,"nerd"
"cataract",35,"cataract"
"avalanche",35,"avalanche"
"crusader castle",35,"crusader"
"alpine cowherd",35,"alpine cowherd"
"chloride",35,"chloride"
"tapir",35,"tapir"
"tramp",35,"tramp"
"chagas disease",35,"chagas"
"cocona",35,"cocona"
"to encompass",35,"encompass"
"conquistador",35,"conquistador"
"karting",35,"karting"
"koala",35,"koala"
"primeval forest",35,"primeval"
"infirmary",35,"infirmary"
"veal",35,"veal"
"-saur",35,"saur"
"male cousin",35,"cousin"
"-nym",35,"nym"
"spinnaker pole",35,"spinnaker"
"amusing",35,"amusing"
"sprat",35,"sprat"
"barge",35,"barge"
"unstable",34,"unstable"
"sarcastic",34,"sarcastic"
"impostor",34,"impostor"
"dialectics",34,"dialectics"
"parallax",34,"parallax"
"sacrificed",34,"sacrificed"
"cradle cap",34,"cradle"
"mmr",34,"mmr"
"email",34,"email"
"skip",34,"skip"
"coffin",34,"coffin"
"habitually patient",34,"habitually"
"eider",34,"eider"
"lumbago",34,"lumbago"
"shieling",34,"shieling"
"azimuth",34,"azimuth"
"burger",34,"burger"
"capulí",34,"capulí"
"croissant",34,"croissant"
"galette",34,"galette"
"were-",34,"were"
"gyno-",34,"gyno"
"long-awaited",34,"awaited"
"awful",34,"awful"
"patriot",34,"patriot"
"doggie",34,"doggie"
"adjournment",34,"adjournment"
"clamp",34,"clamp"
"arsenic",34,"arsenic"
"manna",33,"manna"
"beneficent",33,"beneficent"
"wiped",33,"wiped"
"besmeared",33,"besmeared"
"undefined",33,"undefined"
"erotic",33,"erotic"
"clary sage",33,"clary sage"
"duct",33,"duct"
"to crumple",33,"crumple"
"agile",33,"agile"
"thru-hole",33,"thru"
"feline",33,"feline"
"biennale",33,"biennale"
"polypore",33,"polypore"
"cobalt",33,"cobalt"
"filter",33,"filter"
"guayabera",33,"guayabera"
"jeep",33,"jeep"
"to suckle",33,"suckle"
"fortysomething",33,"fortysomething"
"viticultural",33,"viticultural"
"hind",33,"hind"
"corset",33,"corset"
"fret",33,"fret"
"finesse",33,"finesse"
"resource",33,"resource"
"bilberry",33,"bilberry"
"charcoal kiln",33,"kiln"
"forborne",32,"forborne"
"carried forth",32,"forth"
"pruned",32,"pruned"
"cilician woman",32,"cilician"
"acidophilic",32,"acidophilic"
"to live",32,"live"
"embassy",32,"embassy"
"alluvial",32,"alluvial"
"equinox",32,"equinox"
"hr",32,"hr"
"spikenard",32,"spikenard"
"pinafore",32,"pinafore"
"philo-",32,"philo"
"trivet",32,"trivet"
"kebab",32,"kebab"
"beef",32,"beef"
"nankeen",32,"nankeen"
"to mitre",32,"mitre"
"igloo",32,"igloo"
"ventricle",32,"ventricle"
"mammoth",32,"mammoth"
"astro-",32,"astro"
"burrito",32,"burrito"
"chambéry",32,"chambéry"
"encierro",32,"encierro"
"familial",32,"familial"
"sworn in",32,"sworn"
"corona",32,"corona"
"first cousin",32,"first cousin"
"pirogue",32,"pirogue"
"sachet",32,"sachet"
"segment",32,"segment"
"soprano",32,"soprano"
"schist",32,"schist"
"secondary",32,"secondary"
"tickle",32,"tickle"
"hopscotch",32,"hopscotch"
"tilde",32,"tilde"
"epaulette",32,"epaulette"
"onyx marble",31,"onyx"
"scourge-bearing",31,"scourge"
"licked",31,"licked"
"prodigality",31,"prodigality"
"half-full",31,"half"
"observable",31,"observable"
"begun",31,"begun"
"-ence",31,"ence"
"fugitive",31,"fugitive"
"nirvana",31,"nirvana"
"critical hit",31,"critical"
"cella",31,"cella"
"plaque",31,"plaque"
"metamorphosis",31,"metamorphosis"
"alabaster",31,"alabaster"
"besom heath",31,"besom heath"
"conical hill",31,"conical"
"impala",31,"impala"
"kakapo",31,"kakapo"
"nickeling",31,"nickeling"
"paleo-",31,"paleo"
"radian",31,"radian"
"radome",31,"radome"
"reflex",31,"reflex"
"revue",31,"revue"
"collegiate church",31,"collegiate"
"utility",31,"utility"
"vihara",31,"vihara"
"velodrome",31,"velodrome"
"romantic",31,"romantic"
"hornbill",31,"hornbill"
"consort",31,"consort"
"aeroclub",31,"aeroclub"
"lamina",31,"lamina"
"seam",30,"seam"
"antimony",30,"antimony"
"atlas",30,"atlas"
"dim-sighted",30,"dim"
"hydromancer",30,"hydromancer"
"atonement",30,"atonement"
"imaginary",30,"imaginary"
"merlin",30,"merlin"
"economy",30,"economy"
"frightened",30,"frightened"
"secondhand",30,"secondhand"
"sica",30,"sica"
"abaya",30,"abaya"
"harness",30,"harness"
"stupa",30,"stupa"
"lye",30,"lye"
"to defeat",30,"defeat"
"agave",30,"agave"
"bandeirante",30,"bandeirante"
"uncastrated bull",30,"uncastrated"
"angina",30,"angina"
"urinary calculus",30,"urinary calculus"
"hajji",30,"hajji"
"helix",30,"helix"
"victim",30,"victim"
"lebel rifle",30,"lebel"
"liege",30,"liege"
"pork sausage",30,"pork"
"pyran",30,"pyran"
"obesity",30,"obesity"
"tezontle",30,"tezontle"
"easy-peasy",30,"peasy"
"technology",30,"technology"
"conservatory",30,"conservatory"
"paternal grandfather",30,"paternal"
"goad",30,"goad"
"to devour",29,"devour"
"-nomy",29,"nomy"
"teasel",29,"teasel"
"salmon trout",29,"salmon"
"small necklace",29,"necklace"
"serrated-leaved",29,"serrated"
"tuberculosis",29,"tuberculosis"
"wig",29,"wig"
"lumen",29,"lumen"
"jeans",29,"jeans"
"antisocial",29,"antisocial"
"vitiligo",29,"vitiligo"
"toupee",29,"toupee"
"ultra-",29,"ultra"
"faucet",29,"faucet"
"to emboss",29,"emboss"
"adolescent",29,"adolescent"
"trawling",29,"trawling"
"bleaching",29,"bleaching"
"bonsai",29,"bonsai"
"yaws",29,"yaws"
"cochayuyo",29,"cochayuyo"
"sapodilla",29,"sapodilla"
"chullo",29,"chullo"
"advisory",29,"advisory"
"dynamo",29,"dynamo"
"wherry",29,"wherry"
"palmetto",29,"palmetto"
"-logy",29,""
"pergola",29,"pergola"
"weaned",29,"weaned"
"trolley pole",29,"trolley"
"pomegranate tree",29,"pomegranate"
"lemming",29,"lemming"
"gout",29,"gout"
"conjoined twins",28,"conjoined"
"pumice",28,"pumice"
"acrobat",28,"acrobat"
"young tunny",28,"tunny"
"plaited",28,"plaited"
"heptagonal",28,"heptagonal"
"eightieth",28,"eightieth"
"fiancée",28,"fiancée"
"pettifogger",28,"pettifogger"
"carbine",28,"carbine"
"jaundice",28,"jaundice"
"ureter",28,"ureter"
"octave",28,"octave"
"aria",28,"aria"
"judicial",28,"judicial"
"complaint",28,"complaint"
"re",28,"re"
"chasuble",28,"chasuble"
"arsis",28,"arsis"
"wage",28,"wage"
"surcharge",28,"surcharge"
"gaff",28,"gaff"
"angular momentum",28,"angular momentum"
"wisp",28,"wisp"
"frightening",28,"frightening"
"birdie",28,"birdie"
"volkswagen minivan",28,"volkswagen minivan"
"grappa",28,"grappa"
"rash",28,"rash"
"lacrosse",28,"lacrosse"
"to churn",28,"churn"
"firstborn",28,"firstborn"
"parasol mushroom",28,"parasol"
"chloroleucon tortum",28,"chloroleucon tortum"
"technical college",28,"technical"
"territory",28,"territory"
"zombie",28,"zombie"
"thole",28,"thole"
"jesus christ",28,"jesus"
"condom",28,"condom"
"commando",28,"commando"
"unleavened",27,"unleavened"
"greenfodder",27,"greenfodder"
"clarity",27,"clarity"
"subjected",27,"subjected"
"griffin",27,"griffin"
"concubine",27,"concubine"
"addax",27,"addax"
"thievish",27,"thievish"
"corduroy",27,"corduroy"
"gouache",27,"gouache"
"research",27,"research"
"yak",27,"yak"
"iud",27,"iud"
"eaglet",27,"eaglet"
"sarong",27,"sarong"
"lamé",27,"lamé"
"boza",27,"boza"
"coin purse",27,"purse"
"bruchid",27,"bruchid"
"burpee",27,"burpee"
"caravelle",27,"caravelle"
"truss",27,"truss"
"peperomia congona",27,"congona"
"crusade",27,"crusade"
"fandango",27,"fandango"
"giga-",27,"giga"
"gourmet",27,"gourmet"
"rambutan",27,"rambutan"
"magma",27,"magma"
"martyrdom",27,"martyrdom"
"spattered liquid",27,"spattered"
"technologist",27,"technologist"
"thuluth",27,"thuluth"
"airan",27,"airan"
"baroness",27,"baroness"
"mantilla",27,"mantilla"
"amaryllis",27,"amaryllis"
"regent",27,"regent"
"pro",27,"pro"
"tattoo",27,"tattoo"
"dampness",26,"dampness"
"uncut",26,"uncut"
"clergy",26,"clergy"
"dropsy",26,"dropsy"
"half-mule",26,"half"
"embezzler",26,"embezzler"
"untangled",26,"untangled"
"instigator",26,"instigator"
"aphrodisiac",26,"aphrodisiac"
"miracle",26,"miracle"
"affix",26,"affix"
"naturally",26,"naturally"
"poncho",26,"poncho"
"salat",26,"salat"
"tetter",26,"tetter"
"bidet",26,"bidet"
"aguayo",26,"aguayo"
"acro-",26,"acro"
"easel",26,"easel"
"camões",26,"camões"
"menhir",26,"menhir"
"peyote",26,"peyote"
"pinscher",26,"pinscher"
"tornado",26,"tornado"
"pissed off",26,"pissed"
"female italian",26,"italian"
"foreman",26,"foreman"
"clumsy",26,"clumsy"
"jimsonweed",26,"jimsonweed"
"chipmunk",26,"chipmunk"
"refolded fabric",25,"refolded"
"requiring manure",25,"requiring"
"brutalized",25,"brutalized"
"greek hay",25,"greek"
"dermatitis",25,"dermatitis"
"pastry",25,"pastry"
"processional",25,"processional"
"adapted",25,"adapted"
"axiom",25,"axiom"
"stench",25,"stench"
"violence",25,"violence"
"stasis",25,"stasis"
"genuine",25,"genuine"
"mere",25,"mere"
"hauberk",25,"hauberk"
"khaki green",25,"khaki"
"righteousness",25,"righteousness"
"nave",25,"nave"
"to consult",25,"consult"
"-type",25,""
"arista",25,"arista"
"botel",25,"botel"
"centipedal",25,"centipedal"
"cuirass",25,"cuirass"
"diorite",25,"diorite"
"exo-",25,"exo"
"coloring liquor",25,"liquor"
"lake como",25,"como"
"bulletproof vest",25,"bulletproof"
"obsidian",25,"obsidian"
"pan-american",25,"american"
"red porgy",25,"porgy"
"to singe",25,"singe"
"tajine",25,"tajine"
"to tare",25,"tare"
"weather vane",25,"vane"
"cyano-",25,"cyano"
"warbler",25,"warbler"
"shogi",25,"shogi"
"fawning",24,"fawning"
"invulnerable",24,"invulnerable"
"ever-living",24,"living"
"inquired into",24,"inquired"
"cloven-hooved",24,"hooved"
"tightened",24,"tightened"
"exposing",24,"exposing"
"unteachable",24,"unteachable"
"hastened",24,"hastened"
"unable",24,"unable"
"plunderer",24,"plunderer"
"descent",24,"descent"
"plucked",24,"plucked"
"lacquer",24,"lacquer"
"g-flat",24,"g"
"disgust",24,"disgust"
"coda",24,"coda"
"unique",24,"unique"
"woe",24,"woe"
"memo",24,"memo"
"adroit",24,"adroit"
"disfigurement",24,"disfigurement"
"djembe",24,"djembe"
"mural",24,"mural"
"vegan",24,"vegan"
"gabbro",24,"gabbro"
"syringe",24,"syringe"
"doge",24,"doge"
"cangue",24,"cangue"
"arcane",24,"arcane"
"laziness",24,"laziness"
"ambassador",24,"ambassador"
"quinone",24,"quinone"
"breakup",24,"breakup"
"southeast asia",24,"southeast asia"
"to circumcise",24,"circumcise"
"kretek",24,"kretek"
"firth",24,"firth"
"gallinipper",24,"gallinipper"
"nabkha",24,"nabkha"
"nitro-",24,"nitro"
"tisane",24,"tisane"
"interlining",24,"interlining"
"to engrave",24,"engrave"
"best",24,"best"
"rowel",24,"rowel"
"rasp",24,"rasp"
"to yawn",23,"yawn"
"baptism",23,"baptism"
"summer solstice",23,"solstice"
"intruded",23,"intruded"
"sacrificial victim",23,"sacrificial victim"
"ambrosial",23,"ambrosial"
"grizzled",23,"grizzled"
"tractable",23,"tractable"
"censorial",23,"censorial"
"litharge",23,"litharge"
"telephone",23,"telephone"
"lasso",23,"lasso"
"horst",23,"horst"
"consul",23,"consul"
"tenrec",23,"tenrec"
"peripheral",23,"peripheral"
"lesbian",23,"lesbian"
"lazaret",23,"lazaret"
"abbess",23,"abbess"
"barracuda",23,"barracuda"
"insulating tape",23,"insulating"
"undone",23,"undone"
"datura",23,"datura"
"fluvial",23,"fluvial"
"frigate ship",23,"frigate"
"guaracha",23,"guaracha"
"macula",23,"macula"
"papakha",23,"papakha"
"journalist",23,"journalist"
"prairie",23,"prairie"
"solitary confinement",23,"confinement"
"to substantiate",23,"substantiate"
"parliament",23,"parliament"
"yoni",23,"yoni"
"cameo",23,"cameo"
"accord",23,"accord"
"having avenged",22,"avenged"
"tessera",22,"tessera"
"bugler",22,"bugler"
"worse",22,"worse"
"to reunite",22,"reunite"
"astonished",22,"astonished"
"thrice-cloven",22,"thrice"
"half-shaved",22,"half"
"invoked",22,"invoked"
"syllogism",22,"syllogism"
"sadomasochism",22,"sadomasochism"
"hurricane",22,"hurricane"
"chaeta",22,"chaeta"
"écu",22,"écu"
"-uria",22,"uria"
"gallop",22,"gallop"
"stunted",22,"stunted"
"hadith",22,"hadith"
"greetings",22,"greetings"
"convoy",22,"convoy"
"fermi",22,"fermi"
"fiacre",22,"fiacre"
"demonym",22,"demonym"
"to gird",22,"gird"
"horrible",22,"horrible"
"ikea",22,"ikea"
"investment",22,"investment"
"riverside village",22,"riverside"
"crambe",22,"crambe"
"flail",22,"flail"
"queer",22,"queer"
"cavalryman",22,"cavalryman"
"rhyolite",22,"rhyolite"
"seiche",22,"seiche"
"guildhall",22,"guildhall"
"stoa",22,"stoa"
"yeoman",22,"yeoman"
"catacomb",22,"catacomb"
"ticket",22,"ticket"
"baroque",22,"baroque"
"masturbate",22,"masturbate"
"baccarat",22,"baccarat"
"unceasing",21,"unceasing"
"cymbal",21,"cymbal"
"sheatfish",21,"sheatfish"
"crook-footed",21,"crook"
"luminescent",21,"luminescent"
"maniple",21,"maniple"
"integral",21,"integral"
"to demolish",21,"demolish"
"biblical",21,"biblical"
"propelled",21,"propelled"
"denial",21,"denial"
"romantic love",21,"romantic"
"rubble",21,"rubble"
"caique",21,"caique"
"horticulture",21,"horticulture"
"laic",21,"laic"
"carat",21,"carat"
"zodiac",21,"zodiac"
"mimusops laurifolia",21,"mimusops laurifolia"
"immune",21,"immune"
"veto",21,"veto"
"to kindle",21,"kindle"
"dump",21,"dump"
"harpooner",21,"harpooner"
"astral",21,"astral"
"pretzel",21,"pretzel"
"sugarcane plantation",21,"sugarcane"
"contemporary",21,"contemporary"
"demented",21,"demented"
"spinet",21,"spinet"
"etho-",21,"etho"
"feta",21,"feta"
"christian woman",21,"christian"
"guajillo",21,"guajillo"
"intercultural",21,"intercultural"
"chime",21,"chime"
"to lacquer",21,"lacquer"
"pork shoulder",21,"pork"
"leviathan",21,"leviathan"
"-lingual",21,""
"lupin",21,"lupin"
"to marbleize",21,"marbleize"
"multicultural",21,"multicultural"
"plumbago",21,"plumbago"
"roulette",21,"roulette"
"sallet",21,"sallet"
"feudal estate",21,"feudal"
"seriema",21,"seriema"
"mire",21,"mire"
"souvenir",21,"souvenir"
"raisins",21,"raisins"
"ashtray",21,"ashtray"
"to rhyme",21,"rhyme"
"bushel",21,"bushel"
"river usk",20,"usk"
"fainting",20,"fainting"
"quelea",20,"quelea"
"crescent",20,"crescent"
"deformed",20,"deformed"
"rebounding",20,"rebounding"
"trachoma",20,"trachoma"
"paean",20,"paean"
"paragoge",20,"paragoge"
"mallow-leafed",20,"mallow"
"five twelfths",20,"twelfths"
"whistler",20,"whistler"
"predecessor",20,"predecessor"
"heretical",20,"heretical"
"preceded",20,"preceded"
"pancreas",20,"pancreas"
"narcotic",20,"narcotic"
"sent",20,"sent"
"diverted",20,"diverted"
"arity",20,"arity"
"lonely",20,"lonely"
"ambergris",20,"ambergris"
"moo",20,"moo"
"doublet",20,"doublet"
"to piss",20,"piss"
"gherkin",20,"gherkin"
"endo-",20,"endo"
"mongol horde",20,"mongol horde"
"superficial",20,"superficial"
"thin pancake",20,"pancake"
"paunch",20,"paunch"
"archaeology",20,"archaeology"
"bycatch",20,"bycatch"
"caravel",20,"caravel"
"enchantress",20,"enchantress"
"famine",20,"famine"
"googol",20,"googol"
"intramural",20,"intramural"
"lakeside village",20,"lakeside"
"to blather",20,"blather"
"paradoxical",20,"paradoxical"
"to polarize",20,"polarize"
"vengeance",20,"vengeance"
"co-cathedral",20,"co"
"wafer",20,"wafer"
"antler",20,"antler"
"garrigue",20,"garrigue"
"bayonet",20,"bayonet"
"dromedary",19,"dromedary"
"triune",19,"triune"
"eye-salve",19,"salve"
"asserted",19,"asserted"
"orderliness",19,"orderliness"
"stimulated",19,"stimulated"
"glorified",19,"glorified"
"praetorian",19,"praetorian"
"multiple",19,"multiple"
"spectator",19,"spectator"
"disgraceful",19,"disgraceful"
"ecclesiastical",19,"ecclesiastical"
"rum",19,"rum"
"instep",19,"instep"
"rhyme",19,"rhyme"
"amyl",19,"amyl"
"tummy",19,"tummy"
"ramie",19,"ramie"
"coqui frog",19,"coqui"
"cultivar",19,"cultivar"
"quota",19,"quota"
"palsa",19,"palsa"
"messiah",19,"messiah"
"sloe",19,"sloe"
"to vouch",19,"vouch"
"horned screamer",19,"screamer"
"-phony",19,""
"tipsiness",19,"tipsiness"
"hamsa",19,"hamsa"
"great calamities",19,"calamities"
"to floss",19,"floss"
"maguindanao people",19,"maguindanao"
"missile",19,"missile"
"refrigerator",19,"refrigerator"
"öland",19,"öland"
"handkerchief",19,"handkerchief"
"penthouse",19,"penthouse"
"rebec",19,"rebec"
"recital",19,"recital"
"prayers",19,"prayers"
"tern",19,"tern"
"non-tupi indigenous",19,"tupi indigenous"
"dictionary",19,"dictionary"
"brewer",19,"brewer"
"brute",19,"brute"
"bullock",19,"bullock"
"cunning",19,"cunning"
"regency",19,"regency"
"lottery",19,"lottery"
"elk",19,"elk"
"having remeasured",18,"remeasured"
"having hesitated",18,"hesitated"
"climax",18,"climax"
"incitement",18,"incitement"
"inwards",18,"inwards"
"armillary sphere",18,"armillary"
"circular incision",18,"incision"
"soldered",18,"soldered"
"diuretic",18,"diuretic"
"hysterical",18,"hysterical"
"missionary",18,"missionary"
"geographer",18,"geographer"
"pestilential",18,"pestilential"
"plundered",18,"plundered"
"-ene",18,"ene"
"dizzy",18,"dizzy"
"ok",18,"ok"
"engineering",18,"engineering"
"mourning",18,"mourning"
"grog",18,"grog"
"ditto",18,"ditto"
"hp",18,"hp"
"mop",18,"mop"
"chord",18,"chord"
"pawn",18,"pawn"
"merganser",18,"merganser"
"whisk",18,"whisk"
"troll",18,"troll"
"to sully",18,"sully"
"psalm",18,"psalm"
"to graze",18,"graze"
"lugsail",18,"lugsail"
"caudillo",18,"caudillo"
"godet",18,"godet"
"gratin",18,"gratin"
"karting track",18,"karting"
"laundrywoman",18,"laundrywoman"
"lavender",18,"lavender"
"untamed calf",18,"untamed"
"to miaow",18,"miaow"
"to meow",18,"meow"
"bishopric",18,"bishopric"
"ovo-",18,"ovo"
"to fart",18,"fart"
"polytechnic",18,"polytechnic"
"puya",18,"puya"
"to spank",18,"spank"
"rear derailleur",18,"rear derailleur"
"great skua",18,"skua"
"rendering safe",18,"rendering"
"tepui",18,"tepui"
"chinese peruvian",18,"chinese peruvian"
"schwa",18,"schwa"
"tun",18,"tun"
"jingle",18,"jingle"
"deficiency",17,"deficiency"
"flowingly",17,"flowingly"
"circulated",17,"circulated"
"bronze-footed",17,"bronze"
"stoic",17,"stoic"
"roaming everywhere",17,"roaming"
"dildo",17,"dildo"
"bath attendant",17,"attendant"
"randomly",17,"randomly"
"loess",17,"loess"
"jersey",17,"jersey"
"to brass",17,"brass"
"saline",17,"saline"
"feud",17,"feud"
"bid",17,"bid"
"wood sandpiper",17,"sandpiper"
"bogie",17,"bogie"
"drink greedily",17,"greedily"
"garrulus glandarius",17,"garrulus glandarius"
"jungle",17,"jungle"
"spite",17,"spite"
"berber person",17,"berber"
"bimini",17,"bimini"
"bohemian society",17,"bohemian"
"cachucha",17,"cachucha"
"storm petrel",17,"petrel"
"clef",17,"clef"
"lineup",17,"lineup"
"crucible",17,"crucible"
"whoremonger",17,"whoremonger"
"cyber-",17,"cyber"
"fond",17,"fond"
"formula",17,"formula"
"hoisting rope",17,"hoisting"
"solvent",17,"solvent"
"monseigneur",17,"monseigneur"
"pinolillo",17,"pinolillo"
"skating",17,"skating"
"solera",17,"solera"
"linden grove",17,"linden"
"psychological trauma",17,"psychological trauma"
"hazard light",17,"hazard"
"yachting",17,"yachting"
"allamanda",17,"allamanda"
"ruffling",16,"ruffling"
"amoeba",16,"amoeba"
"umpire",16,"umpire"
"sacrificial",16,"sacrificial"
"close kinship",16,"kinship"
"xiphoid",16,"xiphoid"
"rochet",16,"rochet"
"advertised",16,"advertised"
"postponed",16,"postponed"
"astrologer",16,"astrologer"
"heroine",16,"heroine"
"recovery",16,"recovery"
"monastic",16,"monastic"
"memorial",16,"memorial"
"gill",16,"gill"
"sushi",16,"sushi"
"oxygen",16,"oxygen"
"to winnow",16,"winnow"
"howl",16,"howl"
"rumba",16,"rumba"
"dozen",16,"dozen"
"berm",16,"berm"
"kippah",16,"kippah"
"-gony",16,"gony"
"umbra",16,"umbra"
"aeroplane",16,"aeroplane"
"agonic line",16,"agonic"
"alibi",16,"alibi"
"berakhah",16,"berakhah"
"bubo",16,"bubo"
"cashmere",16,"cashmere"
"catering",16,"catering"
"carrion crow",16,"carrion"
"dacha",16,"dacha"
"tricorn",16,"tricorn"
"farad",16,"farad"
"refrigerated",16,"refrigerated"
"king herod",16,"herod"
"descriptive",16,"descriptive"
"moussaka",16,"moussaka"
"omuramba",16,"omuramba"
"atlantic bonito",16,"atlantic bonito"
"quotient",16,"quotient"
