term,occurrences,tree
transgressor,3,"?transgressor"
sold,3,"?sold"
alchemy,3,"?alchemy"
chemical,3,"?chemical"
eris,2,"?eris"
mount oeta,2,"mount + ?oeta"
-graph,2,"?-graph"
rhea,2,"?rhea"
female companion,2,"female + ?companion"
bilhah,2,"?bilhah"
jesse,2,"?jesse"
to enrich,2,"to + ?enrich"
to immerse,2,"to + ?immerse"
receptacle,2,"?receptacle"
pistol,2,"?pistol"
scopas,2,"?scopas"
-phobia,2,"?-phobia"
rus,2,"?rus"
clement,2,"?clement"
latter,2,"?latter"
encasement,2,"?encasement"
faithfully,2,"?faithfully"
immateriality,2,"?immateriality"
spondee,2,"?spondee"
gory,2,"?gory"
hardening,2,"?hardening"
exerting tension,2,"?exerting + tension"
twine,2,"?twine"
android,2,"?android"
cholera,2,"?cholera"
babel,2,"?babel"
manganic,2,"?manganic"
funereal litter,2,"funereal + ?litter"
manasseh,2,"?manasseh"
nisan,2,"?nisan"
draught-cattle,2,"?draught + cattle"
barnabas,2,"?barnabas"
bier,2,"?bier"
imploring,2,"?imploring"
quinquereme,2,"?quinquereme"
scantiness,2,"?scantiness"
unpunished,2,"?unpunished"
to propagate,2,"to + ?propagate"
arverni,2,"?arverni"
lunch-guest,2,"?lunch + guest"
expiated,2,"?expiated"
tameable,2,"?tameable"
lupercal,2,"?lupercal"
provisions-carrier,2,"?provisions + carry"
arginine,2,"?arginine"
to defecate,2,"to + ?defecate"
dehiscence,2,"?dehiscence"
evadne,2,"?evadne"
nominator,2,"?nominator"
pointedly foolish,2,"?pointedly + fool"
paternal uncle,2,"?paternal + uncle"
circumference,2,"?circumference"
sacral,2,"?sacral"
telephone,2,"?telephone"
uriah,2,"?uriah"
eparchy,2,"?eparchy"
abbacy,2,"?abbacy"
weaning,2,"?weaning"
actuated,2,"?actuated"
advocate,2,"?advocate"
allegory,2,"?allegory"
amalgam,2,"?amalgam"
preservative,2,"?preservative"
aphorism,2,"?aphorism"
applied,2,"?applied"
busybody,2,"?busybody"
atropatena,2,"?atropatena"
barabbas,2,"?barabbas"
bethsaida,2,"?bethsaida"
biology,2,"?biology"
servitude,2,"?servitude"
water diviners,2,"water + ?diviners"
collegial,2,"?collegial"
concocted,2,"?concocted"
coveting,2,"?coveting"
repository,2,"?repository"
accomplishing,2,"?accomplishing"
conflux,2,"?conflux"
consulted,2,"?consulted"
crowner,2,"?crowner"
creusis,2,"?creusis"
cypress-bearing,2,"?cypress + bear"
having dissuaded,2,"have + ?dissuaded"
having demolished,2,"have + ?demolished"
electronics,2,"?electronics"
defensive alliance,2,"defense + ?alliance"
exarch,2,"?exarch"
extorter,2,"?extorter"
sixty,2,"?sixty"
mimicry,2,"?mimicry"
rebuked,2,"?rebuked"
unnameable,2,"?unnameable"
incurable,2,"?incurable"
insurmountable,2,"?insurmountable"
unwittingly,2,"?unwittingly"
linseed,2,"?linseed"
to croak,2,"to + ?croak"
having devised,2,"have + ?devised"
maieutics,2,"?maieutics"
marble-mason,2,"?marble-mason"
black-cloaked,2,"black + ?cloaked"
narrator,2,"?narrator"
necromancer,2,"?necromancer"
oligarch,2,"?oligarch"
encountered,2,"?encountered"
palilogy,2,"?palilogy"
absolute monarch,2,"absolute + ?monarch"
paroxysm,2,"?paroxysm"
very attentive,2,"very + ?attentive"
perimeter,2,"?perimeter"
pharmacy,2,"?pharmacy"
phoebean,2,"?phoebean"
praenestine,2,"?praenestine"
prescient,2,"?prescient"
prefixed,2,"?prefixed"
delusive,2,"?delusive"
false apostle,2,"false + ?apostle"
relativity,2,"?relativity"
egyptian amber,2,"?egyptian + amber"
chubby-cheeked,2,"?chubby + cheek"
hedge,2,"?hedge"
zedekiah,2,"?zedekiah"
semibreve,2,"?semibreve"
half-finished,2,"half + ?finished"
female senator,2,"female + ?senator"
seismic,2,"?seismic"
to libate,2,"to + ?libate"
lake stymphalia,2,"lake + ?stymphalia"
suburb,2,"?suburb"
mutterer,2,"?mutterer"
syennesis,2,"?syennesis"
triple crest,2,"?triple + crest"
subvassal,2,"?subvassal"
having skirmished,2,"have + ?skirmished"
veliternian,2,"?veliternian"
soup-ladle,2,"soup + ?ladle"
alum,2,"?alum"
antepenultimate,2,"?antepenultimate"
arbitrating,2,"?arbitrating"
kennel,2,"?kennel"
celtic wheat-beer,2,"?celtic + wheat + beer"
surgical,2,"?surgical"
corruptible,2,"?corruptible"
octave,2,"?octave"
poulterer,2,"?poulterer"
unfavourable,2,"?unfavourable"
unexhausted,2,"?unexhausted"
jehoshaphat,2,"?jehoshaphat"
entreaty,2,"?entreaty"
obtuse-angled,2,"?obtuse + angle"
prophylactic,2,"?prophylactic"
burst forth,2,"burst + ?forth"
recooked,2,"?recooked"
locksmith,2,"?locksmith"
theoretical,2,"?theoretical"
disgraced,2,"?disgraced"
misleading,2,"?misleading"
sabbath,2,"?sabbath"
tellis,1,"?tellis"
sarah,1,"?sarah"
pyree,1,"?pyree"
horse-fodder,1,"horse + ?fodder"
tufted,1,"?tufted"
oizys,1,"?oizys"
shrouding,1,"?shrouding"
thenar,1,"?thenar"
to barter,1,"to + ?barter"
ancient greek,1,"ancient + ?greek"
aethra,1,"?aethra"
texas,1,"?texas"
fibula,1,"?fibula"
to play,1,"to + ?play"
upside down,1,"?upside + down"
recalling,1,"?recalling"
mount circeo,1,"mount + ?circeo"
lime quarry,1,"lime + ?quarry"
spewed,1,"?spewed"
sexvir,1,"?sexvir"
favoured,1,"?favoured"
gisco,1,"?gisco"
bittern,1,"?bittern"
scurvy,1,"?scurvy"
misfortune,1,"?misfortune"
dysentery,1,"?dysentery"
urbanely,1,"?urbanely"
to lullaby,1,"to + ?lullaby"
pipette,1,"?pipette"
woollen cloak,1,"wool + ?cloak"
rectangular,1,"?rectangular"
femur,1,"?femur"
two-pronged mattock,1,"two + ?pronged + ?mattock"
contrarily,1,"?contrarily"
baptized,1,"?baptized"
sissy,1,"?sissy"
caepio,1,"?caepio"
astatine,1,"?astatine"
fāta,1,"?fāta"
disinherited,1,"?disinherited"
naucratis,1,"?naucratis"
knavery,1,"?knavery"
guianan,1,"?guianan"
critias,1,"?critias"
seattle,1,"?seattle"
surgical knife,1,"?surgical + knife"
censure,1,"?censure"
allocated,1,"?allocated"
apogee,1,"?apogee"
caleb,1,"?caleb"
ureter,1,"?ureter"
praetorship,1,"?praetorship"
