word,occurrences,meanings_it_unlocks
"denial",21,1
"rubble",21,1
"caique",21,1
"horticulture",21,1
"laic",21,1
"carat",21,1
"zodiac",21,1
"immune",21,1
"veto",21,1
"kindle",21,1
"dump",21,1
"harpooner",21,1
"astral",21,1
"pretzel",21,1
"sugarcane",21,1
"contemporary",21,1
"demented",21,1
"spinet",21,1
"etho",21,1
"feta",21,1
"christian",21,1
"guajillo",21,1
"intercultural",21,1
"chime",21,1
"leviathan",21,1
"lupin",21,1
"marbleize",21,1
"multicultural",21,1
"plumbago",21,1
"roulette",21,1
"sallet",21,1
"feudal",21,1
"seriema",21,1
"mire",21,1
"souvenir",21,1
"raisins",21,1
"ashtray",21,1
"bushel",21,1
"twelfths",21,2
"poo",21,2
"usk",20,1
"fainting",20,1
"quelea",20,1
"crescent",20,1
"deformed",20,1
"rebounding",20,1
"trachoma",20,1
"paean",20,1
"paragoge",20,1
"mallow",20,1
"whistler",20,1
"predecessor",20,1
"heretical",20,1
"preceded",20,1
"pancreas",20,1
"narcotic",20,1
"sent",20,1
"diverted",20,1
"arity",20,1
"lonely",20,1
"ambergris",20,1
"moo",20,1
"doublet",20,1
"piss",20,1
"gherkin",20,1
"endo",20,1
"superficial",20,1
"pancake",20,1
"paunch",20,1
"archaeology",20,1
"bycatch",20,1
"caravel",20,1
"enchantress",20,1
"famine",20,1
"googol",20,1
"intramural",20,1
"lakeside",20,1
"blather",20,1
"paradoxical",20,1
"polarize",20,1
"vengeance",20,1
"co",20,1
"wafer",20,1
"antler",20,1
"garrigue",20,1
"bayonet",20,1
"delivery",20,2
"triune",19,1
"salve",19,1
"asserted",19,1
"orderliness",19,1
"stimulated",19,1
"glorified",19,1
"praetorian",19,1
"multiple",19,1
"spectator",19,1
"disgraceful",19,1
"ecclesiastical",19,1
"rum",19,1
"instep",19,1
"amyl",19,1
"tummy",19,1
"ramie",19,1
"coqui",19,1
"cultivar",19,1
"quota",19,1
"palsa",19,1
"messiah",19,1
"sloe",19,1
"vouch",19,1
"screamer",19,1
"tipsiness",19,1
"hamsa",19,1
"calamities",19,1
"floss",19,1
"maguindanao",19,1
"missile",19,1
"refrigerator",19,1
"öland",19,1
"handkerchief",19,1
"penthouse",19,1
"rebec",19,1
"recital",19,1
"prayers",19,1
"tern",19,1
"dictionary",19,1
"brewer",19,1
"brute",19,1
"bullock",19,1
"cunning",19,1
"regency",19,1
"lottery",19,1
"remeasured",18,1
"hesitated",18,1
"climax",18,1
"incitement",18,1
"inwards",18,1
"armillary",18,1
"incision",18,1
"soldered",18,1
"diuretic",18,1
"hysterical",18,1
"missionary",18,1
"geographer",18,1
"pestilential",18,1
"ene",18,1
"dizzy",18,1
"ok",18,1
"engineering",18,1
"mourning",18,1
"grog",18,1
"ditto",18,1
"hp",18,1
"mop",18,1
"chord",18,1
"pawn",18,1
"merganser",18,1
"whisk",18,1
"troll",18,1
"sully",18,1
"psalm",18,1
"graze",18,1
"lugsail",18,1
"caudillo",18,1
"godet",18,1
"gratin",18,1
"untamed",18,1
"miaow",18,1
"meow",18,1
"bishopric",18,1
"ovo",18,1
"polytechnic",18,1
"puya",18,1
"spank",18,1
"rendering",18,1
"tepui",18,1
"schwa",18,1
"jingle",18,1
"deficiency",17,1
"flowingly",17,1
"circulated",17,1
"bronze",17,1
"stoic",17,1
"dildo",17,1
"attendant",17,1
"randomly",17,1
"loess",17,1
"jersey",17,1
"feud",17,1
"bid",17,1
"sandpiper",17,1
"bogie",17,1
"greedily",17,1
"jungle",17,1
"spite",17,1
"berber",17,1
"bimini",17,1
"bohemian",17,1
"cachucha",17,1
"petrel",17,1
"clef",17,1
"lineup",17,1
"whoremonger",17,1
"cyber",17,1
"fond",17,1
"formula",17,1
"hoisting",17,1
"solvent",17,1
"monseigneur",17,1
"pinolillo",17,1
"skating",17,1
"solera",17,1
"yachting",17,1
"allamanda",17,1
"umpire",16,1
"kinship",16,1
"xiphoid",16,1
"rochet",16,1
"advertised",16,1
"postponed",16,1
"astrologer",16,1
"recovery",16,1
"monastic",16,1
"memorial",16,1
"gill",16,1
"sushi",16,1
"oxygen",16,1
"winnow",16,1
"howl",16,1
"rumba",16,1
"dozen",16,1
"berm",16,1
"kippah",16,1
"gony",16,1
"umbra",16,1
"aeroplane",16,1
"agonic",16,1
"alibi",16,1
"berakhah",16,1
"bubo",16,1
"cashmere",16,1
"catering",16,1
"carrion",16,1
"dacha",16,1
"tricorn",16,1
"farad",16,1
"refrigerated",16,1
"herod",16,1
"descriptive",16,1
"moussaka",16,1
"omuramba",16,1
"quotient",16,1
"pumping",16,1
"sacristy",16,1
"sambaqui",16,1
"piggery",16,1
"excavation",16,1
"sonata",16,1
"gigue",16,1
"provisions",16,2
"piglet",15,1
"trampled",15,1
"efficient",15,1
"falsified",15,1
"semicylindrical",15,1
"subfiliform",15,1
"recruit",15,1
"trierarch",15,1
"sat",15,1
"repressed",15,1
"solidified",15,1
"preceding",15,1
"eleventh",15,1
"apoplectic",15,1
"nigger",15,1
"hex",15,1
"gif",15,1
"enamel",15,1
"chaguar",15,1
"parallelism",15,1
"casual",15,1
"vair",15,1
"semolina",15,1
"tureen",15,1
"calli",15,1
"satay",15,1
"mammal",15,1
"decagram",15,1
"hussar",15,1
"diol",15,1
"pharaoh",15,1
"erhu",15,1
"headquarters",15,1
"fishmonger",15,1
"anode",15,1
"audience",15,1
"aviculture",15,1
"babiche",15,1
"balise",15,1
"greengrocer",15,1
"couloir",15,1
"curare",15,1
"ducat",15,1
"vintage",15,1
"phono",15,1
"ocrea",15,1
"fertiliser",15,1
"halva",15,1
"equine",15,1
"innocence",15,1
"joust",15,1
"lexie",15,1
"macaroni",15,1
"mascara",15,1
"glove",15,1
"peasantry",15,1
"pemmican",15,1
"hairdo",15,1
"proa",15,1
"halfway",15,1
"neigh",15,1
"unesco",15,1
"wendigo",15,1
"misunderstanding",15,1
"bill",15,1
"lemma",14,1
"spavin",14,1
"hemisphere",14,1
"strengthening",14,1
"quaestor",14,1
"hesitating",14,1
"moabite",14,1
"spectre",14,1
"plethora",14,1
"cherub",14,1
"untaught",14,1
"domineering",14,1
"baleful",14,1
"equidistant",14,1
"abounded",14,1
"lethargic",14,1
"philosophical",14,1
"woken",14,1
"distracted",14,1
"piracy",14,1
"exhibited",14,1
"eczema",14,1
"ist",14,1
"tion",14,1
"cam",14,1
"poem",14,1
"sheik",14,1
"underground",14,1
"maxi",14,1
"salary",14,1
"algo",14,1
"panoramic",14,1
"pilsner",14,1
"dengue",14,1
"sensible",14,1
"ibex",14,1
"askari",14,1
"heave",14,1
"bawling",14,1
"inspector",14,1
"lanky",14,1
"scarf",14,1
"agronomist",14,1
"artillery",14,1
"auxiliary",14,1
"bromide",14,1
"flintlock",14,1
"chemo",14,1
"polo",14,1
"stale",14,1
"conservative",14,1
"coccus",14,1
"bruised",14,1
"dago",14,1
"assessment",14,1
"easterly",14,1
"bactrian",14,1
"chokepoint",14,1
"tourniquet",14,1
"genocide",14,1
"germinate",14,1
"dandle",14,1
"wrasse",14,1
"legislature",14,1
"marquesas",14,1
"pamper",14,1
"moped",14,1
"hassle",14,1
"rodent",14,1
"tenancy",14,1
"orangery",14,1
"plebiscite",14,1
"carriage",14,1
"fuck",14,1
"soloist",14,1
"knitter",14,1
"telecommunications",14,1
"squinch",14,1
"vernier",14,1
"certainty",14,1
"wink",14,1
"cabin",14,1
"gauss",14,1
"terrier",14,1
"variegated",14,2
"drainage",13,1
"synapse",13,1
"safflower",13,1
"whisper",13,1
"aorist",13,1
"mundane",13,1
"penultimate",13,1
"apparently",13,1
"homogeneity",13,1
"sterlet",13,1
"cholera",13,1
"smeared",13,1
"desultory",13,1
"pontifical",13,1
"gymnastic",13,1
"dramatic",13,1
"gratitude",13,1
"quarters",13,1
"riot",13,1
"defiance",13,1
"proletarian",13,1
"punk",13,1
"agglomerate",13,1
"dais",13,1
"agio",13,1
"sari",13,1
"ruck",13,1
"balaclava",13,1
"sketch",13,1
"tourmaline",13,1
"allele",13,1
"andesite",13,1
"architectural",13,1
"bung",13,1
"binary",13,1
"blockade",13,1
"buffer",13,1
"dormitory",13,1
"hutch",13,1
"dargah",13,1
"dowel",13,1
"nozzle",13,1
"gospel",13,1
"faena",13,1
"geno",13,1
"addle",13,1
"grail",13,1
"hanseatic",13,1
"inhuman",13,1
"ionian",13,1
"italo",13,1
"yukola",13,1
"peek",13,1
"lucmo",13,1
"macro",13,1
"olivine",13,1
"ostrog",13,1
"goatee",13,1
"principality",13,1
