term,occurrences,forms
lusitania,17,4
leucas,17,5
philippi,17,11
archbishop,16,1
chian,16,1
ariadne,16,2
mauretanian,16,2
andromache,16,3
london,16,5
marco polo,16,3
alcamenes,16,4
chaboras,16,9
sweden,16,6
timanthes,15,1
oeneus,15,3
euclid,15,6
menelaus,15,2
charinus,15,5
paropamisus,15,6
poland,15,6
sagunto,15,4
miletopolis,15,5
anchises,15,7
austria,15,8
cleander,14,1
tiberias,14,1
aristaenetus,14,2
macerata,14,3
matthias,14,3
vicentine,14,3
ialysos,14,6
sipontum,14,6
algeria,14,8
lamone,14,8
anaxibius,13,1
epimachus,13,1
honorius,13,1
cassibile,13,2
celeia,13,2
claternae,13,2
penelope,13,2
dositheus,13,4
samos,13,4
aristogeiton,13,3
lysicles,13,3
mazaces,13,6
czech,13,4
tlepolemus,13,4
calliphon,13,7
pamphylia,13,4
solomon,13,8
osuna,13,7
cervaro,12,1
chaonian,12,1
charidemus,12,1
sigmund,12,1
philoctetes,12,2
spalirises,12,2
meleager,12,2
cheimerium,12,5
given name,12,2
reggio emilia,12,6
athanasius,12,4
cassiopeia,12,7
stratian,12,6
konya,12,8
yolanda,12,4
sicily,12,5
cassander,12,8
rhodanusia,12,10
andraemon,11,1
hemina,11,1
eteocles,11,2
nicostratus,11,2
charente,11,3
bregenz,11,2
quartarius,11,2
slovakia,11,3
granicus,11,4
ottawa,11,4
chios,11,6
tunisia,11,5
gracchus,11,6
glaucon,11,6
salerno,11,6
george,11,5
surname,10,2
mitraeus,10,2
tychicus,10,2
given name,10,3
corsica,10,4
mazares,10,4
doubs,10,3
imperia,10,3
isaac,10,4
damocles,10,4
suriname,10,4
calabria,10,5
aegina,10,3
milos,10,4
sardinia,10,4
mountain range,10,4
seneca,10,6
abdera,9,1
lysistrata,9,1
surname,9,1
psammis,9,1
sostrata,9,1
marcellus,9,3
sassari,9,2
titaness,9,2
albania,9,2
demodocus,9,3
eurotas,9,4
amadea,9,4
arles,9,4
leosthenes,9,2
parthaon,9,2
alcmaeon,9,4
surname,9,5
soleto,9,6
aunemundus,9,4
boeotia,9,5
urbino,9,5
belasica,9,7
athanais,8,1
assembly,8,1
cres,8,1
gundulfus,8,1
hippocrates,8,1
pandosia,8,1
stabiae,8,1
taphiassus,8,1
verdun,8,1
evinos,8,2
mayenne,8,2
nisyros,8,2
male name,8,3
mountain range,8,3
mazaeus,8,3
felix,8,2
cardamyle,8,3
gratianopolis,8,2
megacles,8,3
aratus,8,3
tauriana,8,3
artaeus,8,4
hegesippus,8,3
lesotho,8,3
olympus,8,3
roman coin,8,2
zenobius,8,3
albinia,8,5
ostanes,8,4
diophilus,8,5
quintus,8,4
senegal,8,3
enza,8,6
dniester,8,5
olorus,8,7
felician,8,6
antwerp,7,1
ariphron,7,1
bargylia,7,1
offo,7,1
blestium,7,1
bhutan,7,1
chryses,7,1
aletrium,7,1
thasos,7,1
capri,7,1
female name,7,1
byzas,7,2
callixenus,7,2
cephalonia,7,2
antandrus,7,2
mulucha,7,2
pisa,7,2
cyrenian,7,2
lycophron,7,2
pericles,7,2
bathinus,7,2
alazani,7,3
serchio,7,3
arbaces,7,4
siauus,7,3
artimas,7,4
ascoli piceno,7,4
dandace,7,3
rzhev,7,4
xois,7,3
